bun test v1.3.14 (0d9b296a)

test/e2e/fleet.e2e.ts.test.ts:
timestamp=2026-06-15T01:11:20.575Z level=INFO fiber=#5 message="Gateway run started" gateway:run=0ms runId=run-atlas transport=ws triggeredBy=fleet-control role=operator workflow=panopticon-fleet-control service=smithers source=user userId=fleet-control resume=false connectionId=fleet-control:connection
timestamp=2026-06-15T01:11:22.043Z level=INFO fiber=#706 message="getNodeOutput completed" runId=run-atlas durationMs=1.4298750000000382 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:22.067Z level=INFO fiber=#712 message="getNodeOutput completed" runId=run-atlas durationMs=1.2468750000000455 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:22.096Z level=INFO fiber=#718 message="getNodeOutput completed" runId=run-atlas durationMs=2.1800000000000637 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:22.120Z level=INFO fiber=#724 message="getNodeOutput completed" runId=run-atlas durationMs=1.2144579999999223 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:22.144Z level=INFO fiber=#730 message="getNodeOutput completed" runId=run-atlas durationMs=0.9032500000002983 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:22.171Z level=INFO fiber=#736 message="getNodeOutput completed" runId=run-atlas durationMs=1.2067090000000462 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:22.197Z level=INFO fiber=#742 message="getNodeOutput completed" runId=run-atlas durationMs=1.0949580000001333 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:22.224Z level=INFO fiber=#748 message="getNodeOutput completed" runId=run-atlas durationMs=1.261916999999812 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:22.251Z level=INFO fiber=#754 message="getNodeOutput completed" runId=run-atlas durationMs=1.2548340000003009 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:22.279Z level=INFO fiber=#760 message="getNodeOutput completed" runId=run-atlas durationMs=1.2771250000000691 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:22.302Z level=INFO fiber=#766 message="getNodeOutput completed" runId=run-atlas durationMs=0.8289999999997235 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:22.328Z level=INFO fiber=#772 message="getNodeOutput completed" runId=run-atlas durationMs=1.1743329999999332 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:22.355Z level=INFO fiber=#778 message="getNodeOutput completed" runId=run-atlas durationMs=1.349917000000005 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:22.384Z level=INFO fiber=#784 message="getNodeOutput completed" runId=run-atlas durationMs=1.5447920000001432 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:22.412Z level=INFO fiber=#790 message="getNodeOutput completed" runId=run-atlas durationMs=1.648916999999983 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:22.438Z level=INFO fiber=#796 message="getNodeOutput completed" runId=run-atlas durationMs=1.6933340000000499 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:22.465Z level=INFO fiber=#802 message="getNodeOutput completed" runId=run-atlas durationMs=1.398417000000336 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
